codename_original,categories_num,categories_description,new_categories,new_categories_description,cycle_-1,cycle_1,cycle_2,cycle_3,cycle_4,cycle_5,cycle_6,cycle_7,cycle_8,cycle_9,cycle_10,new_codename
MCQ240W,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240W
MCQ240X,1-16,1-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCQ240X
MCQ240X,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,,,,,MCQ240X
MCQ240X,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ240X
MCQ240X,18-79,18-79 years old,18-79,18-79 years old,,,,,,,,x,x,x,,MCQ240X
MCQ240X,5-16,5-16 years old,16,16 years or younger,,,,,,x,x,,,,,MCQ240X
MCQ240X,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240X
MCQ240X,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240X
MCQ240X,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240X
MCQ240X,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240X
MCQ240Y,16,16-16 years old,16,16 years or younger,,,,,,,,x,x,,,MCQ240Y
MCQ240Y,17-55,17-55 years old,17-55,17-55 years old,,,,,,,,x,x,,,MCQ240Y
MCQ240Y,30,30 years old,30,30 years old,,,,,,x,,,,,,MCQ240Y
MCQ240Y,32-71,32-71 years old,32-71,32-71 years old,,x,x,x,x,,,,,,,MCQ240Y
MCQ240Y,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240Y
MCQ240Y,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240Y
MCQ240Y,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240Y
MCQ240Y,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240Y
MCQ240Z,11-16,11-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ240Z
MCQ240Z,17-79,17-79 years old,17-79,17-79 years old,,,,,,,,x,x,x,,MCQ240Z
MCQ240Z,22-82,22-82 years old,22-82,22-82 years old,,x,x,x,x,,,,,,,MCQ240Z
MCQ240Z,32-76,32-76 years old,32-76,32-76 years old,,,,,,x,x,,,,,MCQ240Z
MCQ240Z,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ240Z
MCQ240Z,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ240Z
MCQ240Z,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ240Z
MCQ240Z,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ240Z
HAC6,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ250E
MCQ250E,9,Don't know,9,Don't know,,x,x,x,,,,,,,,MCQ250E
HAC6,2,No,2,No,x,,,,,,,,,,,MCQ250E
MCQ250E,2,No,2,No,,x,x,x,,,,,,,,MCQ250E
MCQ250E,7,Refused,7,Refused,,x,x,x,,,,,,,,MCQ250E
HAC6,1,Yes,1,Yes,x,,,,,,,,,,,MCQ250E
MCQ250E,1,Yes,1,Yes,,x,x,x,,,,,,,,MCQ250E
MCQ250F,9,Don't know,9,Don't know,,x,x,x,,,,,,,,MCQ250F
MCQ250F,2,No,2,No,,x,x,x,,,,,,,,MCQ250F
MCQ250F,7,Refused,7,Refused,,x,x,x,,,,,,,,MCQ250F
MCQ250F,1,Yes,1,Yes,,x,x,x,,,,,,,,MCQ250F
MCQ270,9,Don't know,9,Don't know,,x,x,x,,,,,,,,MCQ270
HAC7,9,Don't know (HAD1),9,Don't know,x,,,,,,,,,,,MCQ270
MCQ270,2,No,2,No,,x,x,x,,,,,,,,MCQ270
HAC7,2,No (HAD1),2,No,x,,,,,,,,,,,MCQ270
MCQ270,7,Refused,7,Refused,,x,x,x,,,,,,,,MCQ270
HAC7,1,Yes,1,Yes,x,,,,,,,,,,,MCQ270
MCQ270,1,Yes,1,Yes,,x,x,x,,,,,,,,MCQ270
MCQ280,1-101,1-101 years old,1-101,1-101 years old,,x,x,x,,,,,,,,MCQ280
HAC8,555,50 +,555,50 +,x,,,,,,,,,,,MCQ280
HAC8,9-107,9-107 years old,9-107,9-107 years old,x,,,,,,,,,,,MCQ280
HAC8,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCQ280
MCQ280,99999,Don't know,99999,Don't know,,x,x,x,,,,,,,,MCQ280
MCQ280,77777,Refused,77777,Refused,,x,x,x,,,,,,,,MCQ280
HAC8,444,Under 50,444,Under 50,x,,,,,,,,,,,MCQ280
MCQ250G,9,Don't know,9,Don't know,,x,x,x,,,,,,,,MCQ300A
MCQ300A,9,Don't know,9,Don't know,,,,,x,x,x,x,x,x,x,MCQ300A
HAC4B,9,Don't know (HAC6),9,Don't know,x,,,,,,,,,,,MCQ300A
MCQ250G,2,No,2,No,,x,x,x,,,,,,,,MCQ300A
MCQ300A,2,No,2,No,,,,,x,x,x,x,x,x,x,MCQ300A
HAC4B,2,No (HAC6),2,No,x,,,,,,,,,,,MCQ300A
MCQ250G,7,Refused,7,Refused,,x,x,x,,,,,,,,MCQ300A
MCQ300A,7,Refused,7,Refused,,,,,x,x,x,x,x,x,x,MCQ300A
MCQ250G,1,Yes,1,Yes,,x,x,x,,,,,,,,MCQ300A
MCQ300A,1,Yes,1,Yes,,,,,x,x,x,x,x,x,x,MCQ300A
HAC4B,1,Yes (HAC5B1),1,Yes,x,,,,,,,,,,,MCQ300A
MCQ250C,9,Don't know,9,Don't know,,x,x,x,,,,,,,,MCQ300B
MCQ250C,2,No,2,No,,x,x,x,,,,,,,,MCQ300B
MCQ250C,7,Refused,7,Refused,,x,x,x,,,,,,,,MCQ300B
MCQ250C,1,Yes,1,Yes,,x,x,x,,,,,,,,MCQ300B
MCQ250A,9,Don't know,9,Don't know,,x,x,x,,,,,,,,MCQ300C
MCQ300C,9,Don't know,9,Don't know,,,,,x,x,x,x,x,x,x,MCQ300C
HAC4A,9,Don't know (HAC4B),9,Don't know,x,,,,,,,,,,,MCQ300C
MCQ250A,2,No,2,No,,x,x,x,,,,,,,,MCQ300C
MCQ300C,2,No,2,No,,,,,x,x,x,x,x,x,x,MCQ300C
HAC4A,2,No (HAC4B),2,No,x,,,,,,,,,,,MCQ300C
MCQ250A,7,Refused,7,Refused,,x,x,x,,,,,,,,MCQ300C
MCQ300C,7,Refused,7,Refused,,,,,x,x,x,x,x,x,x,MCQ300C
MCQ250A,1,Yes,1,Yes,,x,x,x,,,,,,,,MCQ300C
MCQ300C,1,Yes,1,Yes,,,,,x,x,x,x,x,x,x,MCQ300C
HAC4A,1,Yes (HAC5A1),1,Yes,x,,,,,,,,,,,MCQ300C
MCQ320,1-16,1-16 years old,16,16 years or younger,,,,,,x,,,,,,MCQ320
MCQ320,1-16,1-16 years old,16,16 years or younger,,,,,x,,,,,,,MCQ320
MCQ320,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,,,,,,MCQ320
MCQ320,17-85,17-85 years old,17-85,17-85 years old,,,,,x,,,,,,,MCQ320
MCQ320,80,80 years or older,80,80 years or older,,,,,,x,,,,,,MCQ320
MCQ320,999,Don't know,999,Don't know,,,,,x,x,,,,,,MCQ320
MCQ320,777,Refused,777,Refused,,,,,x,x,,,,,,MCQ320
MCQ520,9,Don't know,9,Don't know,,,,,,,,,,,x,MCQ520
HAJ1,9,Don't know (HAJ9),9,Don't know,x,,,,,,,,,,,MCQ520
MCQ520,2,No,2,No,,,,,,,,,,,x,MCQ520
HAJ1,2,No (HAJ9),2,No,x,,,,,,,,,,,MCQ520
MCQ520,7,Refused,7,Refused,,,,,,,,,,,x,MCQ520
HAJ1,1,Yes,1,Yes,x,,,,,,,,,,,MCQ520
MCQ520,1,Yes,1,Yes,,,,,,,,,,,x,MCQ520
MCQ540,9,Don't know,9,Don't know,,,,,,,,,,,x,MCQ540
HAJ7,9,Don't know (HAK1),9,Don't know,x,,,,,,,,,,,MCQ540
MCQ540,2,No,2,No,,,,,,,,,,,x,MCQ540
HAJ7,2,No (HAJ9),2,No,x,,,,,,,,,,,MCQ540
MCQ540,7,Refused,7,Refused,,,,,,,,,,,x,MCQ540
HAJ7,1,Yes,1,Yes,x,,,,,,,,,,,MCQ540
MCQ540,1,Yes,1,Yes,,,,,,,,,,,x,MCQ540
HAJ16,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ550
HAJ9,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ550
MCQ550,9,Don't know,9,Don't know,,,,,,,,,,,x,MCQ550
HAJ16,2,No,2,No,x,,,,,,,,,,,MCQ550
HAJ9,2,No,2,No,x,,,,,,,,,,,MCQ550
MCQ550,2,No,2,No,,,,,,,,,,,x,MCQ550
MCQ550,7,Refused,7,Refused,,,,,,,,,,,x,MCQ550
HAJ16,1,Yes,1,Yes,x,,,,,,,,,,,MCQ550
HAJ9,1,Yes,1,Yes,x,,,,,,,,,,,MCQ550
MCQ550,1,Yes,1,Yes,,,,,,,,,,,x,MCQ550
MCQ560,9,Don't know,9,Don't know,,,,,,,,,,,x,MCQ560
HAJ12,9,Don't know (HAK1),9,Don't know,x,,,,,,,,,,,MCQ560
HAJ17,9,Don't know (HAK1),9,Don't know,x,,,,,,,,,,,MCQ560
MCQ560,2,No,2,No,,,,,,,,,,,x,MCQ560
HAJ12,2,No (HAK1),2,No,x,,,,,,,,,,,MCQ560
HAJ17,2,No (HAK1),2,No,x,,,,,,,,,,,MCQ560
MCQ560,7,Refused,7,Refused,,,,,,,,,,,x,MCQ560
HAJ12,1,Yes,1,Yes,x,,,,,,,,,,,MCQ560
HAJ17,1,Yes,1,Yes,x,,,,,,,,,,,MCQ560
MCQ560,1,Yes,1,Yes,,,,,,,,,,,x,MCQ560
HAJ13,11-99,11-99 years old,11-99,11-99 years old,x,,,,,,,,,,,MCQ570
MCQ570,15-79,15-79 years old,15-79,15-79 years old,,,,,,,,,,,x,MCQ570
HAJ18R,20-87,20-87 years old,20-87,20-87 years old,x,,,,,,,,,,,MCQ570
MCQ570,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCQ570
HAJ18R,90,90 + years,90,90 + years,x,,,,,,,,,,,MCQ570
HAJ18R,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCQ570
MCQ570,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCQ570
MCQ570,77777,Refused,77777,Refused,,,,,,,,,,,x,MCQ570
PAD020,9,Don't know,9,Don't know,,x,x,x,x,,,,,,,PAD020
PAD020,2,No,2,No,,x,x,x,x,,,,,,,PAD020
HAT4,2,No (HAT6),2,No,x,,,,,,,,,,,PAD020
PAD020,7,Refused,7,Refused,,x,x,x,x,,,,,,,PAD020
PAD020,3,Unable to do activity,3,Unable to do activity,,x,x,x,x,,,,,,,PAD020
PAD020,1,Yes,1,Yes,,x,x,x,x,,,,,,,PAD020
HAT4,1,Yes (HAT5),1,Yes,x,,,,,,,,,,,PAD020
HAT15S,1-95,1-95 times,1-95,1-95 times,x,,,,,,,,,,,PAD120
PAD120,1-99,1-99 times,1-99,1-99 times,,x,x,x,x,,,,,,,PAD120
PAD120,100-300,100 +,100,100 +,,x,x,x,x,,,,,,,PAD120
HAT15S,100,100 +,100,100 +,x,,,,,,,,,,,PAD120
HAT15S,9999,Don't know,99999,Don't know,x,,,,,,,,,,,PAD120
PAD120,99999,Don't know,99999,Don't know,,x,x,x,x,,,,,,,PAD120
PAD120,77777,Refused,77777,Refused,,x,x,x,x,,,,,,,PAD120
PAD440,9,Don't know,9,Don't know,,x,x,x,x,,,,,,,PAD440
PAD440,2,No,2,No,,x,x,x,x,,,,,,,PAD440
HAT16,2,No (HAT18),2,No,x,,,,,,,,,,,PAD440
PAD440,7,Refused,7,Refused,,x,x,x,x,,,,,,,PAD440
PAD440,3,Unable to do activity,3,Unable to do activity,,x,x,x,x,,,,,,,PAD440
PAD440,1,Yes,1,Yes,,x,x,x,x,,,,,,,PAD440
HAT16,1,Yes (HAT17),1,Yes,x,,,,,,,,,,,PAD440
HAT17S,1-91,1-91 times,1-91,1-91 times,x,,,,,,,,,,,PAD460
PAD460,1-99,1-99 times,1-99,1-99 times,,x,x,x,x,,,,,,,PAD460
PAD460,100-300,100 +,100,100 +,,x,x,x,x,,,,,,,PAD460
HAT17S,100,100 +,100,100 +,x,,,,,,,,,,,PAD460
PAD460,999,Don't know,999,Don't know,,x,x,x,x,,,,,,,PAD460
PAD460,777,Refused,777,Refused,,x,x,x,x,,,,,,,PAD460
HAT5S,1-91,1-91 times,1-91,1-91 times,x,,,,,,,,,,,PAQ050Q
PAQ050Q,1-99,1-99 times,1-99,1-99 times,,x,x,x,x,,,,,,,PAQ050Q
HAT5S,100,100 +,100,100 +,x,,,,,,,,,,,PAQ050Q
PAQ050Q,100-124,100-124 times,100,100 +,,x,x,x,x,,,,,,,PAQ050Q
PAQ050Q,99999,Don't know,99999,Don't know,,x,x,x,x,,,,,,,PAQ050Q
PAQ050Q,77777,Refused,77777,Refused,,x,x,x,x,,,,,,,PAQ050Q
HAT27,3,About the same,3,About the same,x,,,,,,,,,,,PAQ500
PAQ500,3,About the same?,3,About the same,,x,x,x,x,,,,,,,PAQ500
HAT27,9,Don't know,9,Don't know,x,,,,,,,,,,,PAQ500
PAQ500,9,Don't know,9,Don't know,,x,x,x,x,,,,,,,PAQ500
HAT27,2,Less active,2,Less active,x,,,,,,,,,,,PAQ500
PAQ500,2,"less active, or",2,Less active,,x,x,x,x,,,,,,,PAQ500
HAT27,1,More active,1,More active,x,,,,,,,,,,,PAQ500
PAQ500,1,more active,1,More active,,x,x,x,x,,,,,,,PAQ500
PAQ500,7,Refused,7,Refused,,x,x,x,x,,,,,,,PAQ500
HAT28,3,About the same,3,About the same,x,,,,,,,,,,,PAQ520
PAQ520,3,About the same?,3,About the same,,x,x,x,x,,,,,,,PAQ520
HAT28,9,Don't know,9,Don't know,x,,,,,,,,,,,PAQ520
PAQ520,9,Don't know,9,Don't know,,x,x,x,x,,,,,,,PAQ520
HAT28,2,Less active,2,Less active,x,,,,,,,,,,,PAQ520
PAQ520,2,"less active, or",2,Less active,,x,x,x,x,,,,,,,PAQ520
HAT28,1,More active,1,More active,x,,,,,,,,,,,PAQ520
PAQ520,1,more active,1,More active,,x,x,x,x,,,,,,,PAQ520
PAQ520,7,Refused,7,Refused,,x,x,x,x,,,,,,,PAQ520
HAT30,3,About the same,3,About the same,x,,,,,,,,,,,PAQ540
PAQ540,3,About the same?,3,About the same,,x,x,x,x,,,,,,,PAQ540
HAT30,9,Don't know,9,Don't know,x,,,,,,,,,,,PAQ540
PAQ540,9,Don't know,9,Don't know,,x,x,x,x,,,,,,,PAQ540
HAT30,2,Less active,2,Less active,x,,,,,,,,,,,PAQ540
PAQ540,2,"less active, or",2,Less active,,x,x,x,x,,,,,,,PAQ540
HAT30,1,More active,1,More active,x,,,,,,,,,,,PAQ540
PAQ540,1,more active,1,More active,,x,x,x,x,,,,,,,PAQ540
PAQ540,7,Refused,7,Refused,,x,x,x,x,,,,,,,PAQ540
HQKX12S,99999,Don't know,99999,Don't know,x,,,,,,,,,,,RXDDAYS
RXD260,99999,Don't know,99999,Don't know,,x,x,,,,,,,,,RXDDAYS
RXDDAYS,99999,Don't know,99999,Don't know,,,,x,x,x,x,x,x,x,x,RXDDAYS
RXD260,77777,Refused,77777,Refused,,x,x,,,,,,,,,RXDDAYS
RXDDAYS,77777,Refused,77777,Refused,,,,x,x,x,x,x,x,x,x,RXDDAYS
RXD030,9,Don't know,9,Don't know,,x,x,,,,,,,,,RXDUSE
RXD030,2,No,2,No,,x,x,,,,,,,,,RXDUSE
RXD030,7,Refused,7,Refused,,x,x,,,,,,,,,RXDUSE
HQKX1B,1,Yes,1,Yes,x,,,,,,,,,,,RXDUSE
RXD030,1,Yes,1,Yes,,x,x,,,,,,,,,RXDUSE
RXQ250,2,No,2,No,,x,x,,,,,,,,,RXQSEEN
RXQSEEN,2,No,2,No,,,,x,x,x,x,x,x,x,x,RXQSEEN
RXQSEEN,3,Only pharmacy print out seen,3,Only pharmacy print out seen,,,,,,,,,x,x,x,RXQSEEN
RXQ250,1,Yes,1,Yes,,x,x,,,,,,,,,RXQSEEN
RXQSEEN,1,Yes,1,Yes,,,,x,x,x,x,x,x,x,x,RXQSEEN
