"","RXDDRGID","RXDDRUG","RXDINGFL","RXDDCI1A","RXDDCI1B","RXDDCI1C","RXDDCI2A","RXDDCI2B","RXDDCI2C","RXDDCI3A","RXDDCI3B","RXDDCI3C","RXDDCI4A","RXDDCI4B","RXDDCI4C","RXDICI1A","RXDICI1B","RXDICI1C","RXDICI2A","RXDICI2B","RXDICI2C","RXDICI3A","RXDICI3B","RXDICI3C","RXDICI4A","RXDICI4B","RXDICI4C","RXDICI5A","RXDICI5B","RXDICI5C","RXDICI6A","RXDICI6B","RXDICI6C","RXDDCN1A","RXDDCN1B","RXDDCN1C","RXDDCN2A","RXDDCN2B","RXDDCN2C","RXDDCN3A","RXDDCN3B","RXDDCN3C","RXDDCN4A","RXDDCN4B","RXDDCN4C","RXDICN1A","RXDICN1B","RXDICN1C","RXDICN2A","RXDICN2B","RXDICN2C","RXDICN3A","RXDICN3B","RXDICN3C","RXDICN4A","RXDICN4B","RXDICN4C","RXDICN5A","RXDICN5B","RXDICN5C","RXDICN6A","RXDICN6B","RXDICN6C"
"694","d03227","FLUOROMETHOLONE OPHTHALMIC",1,133,147,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","d03228","LODOXAMIDE OPHTHALMIC",1,133,147,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","d03229","LEVOCABASTINE OPHTHALMIC",1,133,147,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","d03231","TRIPLE SULFA TOPICAL",1,133,151,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,151,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","VAGINAL PREPARATIONS","VAGINAL ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","VAGINAL PREPARATIONS","VAGINAL ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"698","d03238","ETHINYL ESTRADIOL; NORETHINDRONE",2,97,101,102,97,101,186,NA,NA,NA,NA,NA,NA,97,101,102,97,101,183,97,101,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","CONTRACEPTIVES","HORMONES/HORMONE MODIFIERS","SEX HORMONES","SEX HORMONE COMBINATIONS",NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","CONTRACEPTIVES","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"699","d03240","MESTRANOL; NORETHINDRONE",2,97,101,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,102,97,101,183,97,101,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","CONTRACEPTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","CONTRACEPTIVES","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","d03241","ETHINYL ESTRADIOL; NORGESTREL",2,97,101,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,183,97,101,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","CONTRACEPTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701","d03242","ETHINYL ESTRADIOL; LEVONORGESTREL",2,97,101,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,102,97,101,183,97,101,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","CONTRACEPTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","CONTRACEPTIVES","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","d03245","ESTERIFIED ESTROGENS; METHYLTESTOSTERONE",2,97,101,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,182,97,101,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","SEX HORMONE COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ANDROGENS AND ANABOLIC STEROIDS","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","d03247","HYDROCHLOROTHIAZIDE; SPIRONOLACTONE",2,40,55,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,155,40,49,156,40,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","POTASSIUM SPARING DIURETICS WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","DIURETICS","POTASSIUM-SPARING DIURETICS","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS","CARDIOVASCULAR AGENTS","ALDOSTERONE RECEPTOR ANTAGONISTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"704","d03248","POLYTHIAZIDE; RESERPINE",2,40,55,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,43,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ANTIADRENERGIC AGENTS (PERIPHERAL) WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705","d03249","CHLORTHALIDONE; RESERPINE",2,40,55,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,43,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ANTIADRENERGIC AGENTS (PERIPHERAL) WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"706","d03250","CHLOROTHIAZIDE; RESERPINE",2,40,55,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,43,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ANTIADRENERGIC AGENTS (PERIPHERAL) WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"707","d03251","HYDROCHLOROTHIAZIDE; RESERPINE",2,40,55,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,43,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ANTIADRENERGIC AGENTS (PERIPHERAL) WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"708","d03252","HYDROFLUMETHIAZIDE; RESERPINE",2,40,55,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,43,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ANTIADRENERGIC AGENTS (PERIPHERAL) WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","d03253","METHYCLOTHIAZIDE; RESERPINE",2,40,55,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,43,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ANTIADRENERGIC AGENTS (PERIPHERAL) WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"710","d03256","HYDRALAZINE; HYDROCHLOROTHIAZIDE; RESERPINE",2,40,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,43,NA,40,49,156,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS","CARDIOVASCULAR AGENTS","VASODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711","d03257","HYDRALAZINE; HYDROCHLOROTHIAZIDE",2,40,55,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,156,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","MISCELLANEOUS ANTIHYPERTENSIVE COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS","CARDIOVASCULAR AGENTS","VASODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712","d03258","ATENOLOL; CHLORTHALIDONE",2,40,55,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,47,274,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","BETA BLOCKERS WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","BETA BLOCKERS, CARDIOSELECTIVE","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713","d03259","BENDROFLUMETHIAZIDE; NADOLOL",2,40,55,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,47,275,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","BETA BLOCKERS WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","BETA BLOCKERS, NON-CARDIOSELECTIVE","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714","d03260","HYDROCHLOROTHIAZIDE; TIMOLOL",2,40,55,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,47,275,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","BETA BLOCKERS WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","BETA BLOCKERS, NON-CARDIOSELECTIVE","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715","d03261","HYDROCHLOROTHIAZIDE; PROPRANOLOL",2,40,55,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,46,386,40,47,275,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","BETA BLOCKERS WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIARRHYTHMIC AGENTS","GROUP II ANTIARRHYTHMICS","CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","BETA BLOCKERS, NON-CARDIOSELECTIVE","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"716","d03263","HYDROCHLOROTHIAZIDE; METHYLDOPA",2,40,55,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,44,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ANTIADRENERGIC AGENTS (CENTRAL) WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, CENTRALLY ACTING",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717","d03264","HYDROCHLOROTHIAZIDE; METOPROLOL",2,40,55,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,47,274,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","BETA BLOCKERS WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","BETA BLOCKERS, CARDIOSELECTIVE","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718","d03265","BENAZEPRIL; HYDROCHLOROTHIAZIDE",2,40,55,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,42,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ACE INHIBITORS WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719","d03266","HYDROCHLOROTHIAZIDE; LISINOPRIL",2,40,55,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,42,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ACE INHIBITORS WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720","d03267","CHLORTHALIDONE; CLONIDINE",2,40,55,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,44,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ANTIADRENERGIC AGENTS (CENTRAL) WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, CENTRALLY ACTING",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721","d03268","POLYTHIAZIDE; PRAZOSIN",2,40,55,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,43,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ANTIADRENERGIC AGENTS (PERIPHERAL) WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722","d03273","GUAIFENESIN; THEOPHYLLINE",2,122,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,125,126,122,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIASTHMATIC COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","BRONCHODILATORS","METHYLXANTHINES","RESPIRATORY AGENTS","EXPECTORANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723","d03276","DYPHYLLINE; GUAIFENESIN",2,122,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,125,126,122,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIASTHMATIC COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","BRONCHODILATORS","METHYLXANTHINES","RESPIRATORY AGENTS","EXPECTORANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"724","d03277","POTASSIUM IODIDE; THEOPHYLLINE",2,122,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,422,NA,122,125,126,122,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIASTHMATIC COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","ANTITHYROID AGENTS",NA,"RESPIRATORY AGENTS","BRONCHODILATORS","METHYLXANTHINES","RESPIRATORY AGENTS","EXPECTORANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725","d03280","EPHEDRINE; PHENOBARBITAL; THEOPHYLLINE",2,122,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,54,NA,57,64,201,57,67,68,122,125,126,122,127,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIASTHMATIC COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASOPRESSORS",NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","BARBITURATE ANTICONVULSANTS","CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BARBITURATES","RESPIRATORY AGENTS","BRONCHODILATORS","METHYLXANTHINES","RESPIRATORY AGENTS","DECONGESTANTS",NA,NA,NA,NA
"726","d03283","EPHEDRINE; HYDROXYZINE; THEOPHYLLINE",2,122,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,54,NA,57,67,70,122,123,NA,122,125,126,122,127,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIASTHMATIC COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASOPRESSORS",NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS","RESPIRATORY AGENTS","ANTIHISTAMINES",NA,"RESPIRATORY AGENTS","BRONCHODILATORS","METHYLXANTHINES","RESPIRATORY AGENTS","DECONGESTANTS",NA,NA,NA,NA
"727","d03287","EPHEDRINE; PHENOBARBITAL; POTASSIUM IODIDE; THEOPHYLLINE",2,122,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,54,NA,57,64,201,57,67,68,97,422,NA,122,125,126,122,127,NA,"RESPIRATORY AGENTS","ANTIASTHMATIC COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASOPRESSORS",NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","BARBITURATE ANTICONVULSANTS","CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BARBITURATES","HORMONES/HORMONE MODIFIERS","ANTITHYROID AGENTS",NA,"RESPIRATORY AGENTS","BRONCHODILATORS","METHYLXANTHINES","RESPIRATORY AGENTS","DECONGESTANTS",NA
"728","d03289","ACETAMINOPHEN; PSEUDOEPHEDRINE",2,122,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,59,122,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","UPPER RESPIRATORY COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","MISCELLANEOUS ANALGESICS","RESPIRATORY AGENTS","DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"729","d03291","ASPIRIN; PSEUDOEPHEDRINE",2,122,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,62,81,83,211,122,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","UPPER RESPIRATORY COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","SALICYLATES","COAGULATION MODIFIERS","ANTIPLATELET AGENTS","PLATELET AGGREGATION INHIBITORS","RESPIRATORY AGENTS","DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"730","d03297","ACETAMINOPHEN; PHENYLTOLOXAMINE",2,57,58,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,59,122,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","ANALGESIC COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","MISCELLANEOUS ANALGESICS","RESPIRATORY AGENTS","ANTIHISTAMINES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"731","d03298","CHLORPHENIRAMINE; PSEUDOEPHEDRINE",2,122,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,123,NA,122,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","UPPER RESPIRATORY COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIHISTAMINES",NA,"RESPIRATORY AGENTS","DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"732","d03299","CHLORPHENIRAMINE; PHENYLPROPANOLAMINE",2,122,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,123,NA,122,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","UPPER RESPIRATORY COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIHISTAMINES",NA,"RESPIRATORY AGENTS","DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
